Movie_Name,Emotions
Subtitles_Final_Dataset/PREVIOLENCE SUBTITLES\6Underground1.txt,"['Happy', 'Happy', 'Sad', 'Happy', 'Surprise', 'Happy', 'Surprise', 'Happy', 'Happy', 'Surprise', 'Surprise', 'Happy', 'Happy', 'Surprise', 'Sad', 'Fear', 'Fear', 'Sad', 'Happy', 'Happy', 'Fear', 'Surprise', 'Happy', 'Happy', 'Surprise', 'Happy', 'Fear', 'Happy', 'Happy', 'Surprise']"
Subtitles_Final_Dataset/PREVIOLENCE SUBTITLES\6Underground2.txt,"['Fear', 'Happy', 'Sad', 'Happy', 'Surprise', 'Happy', 'Happy', 'Surprise', 'Sad', 'Surprise', 'Fear', 'Happy', 'Happy', 'Angry', 'Happy', 'Happy', 'Happy', 'Happy', 'Happy', 'Happy', 'Surprise', 'Happy', 'Happy', 'Happy', 'Surprise', 'Happy']"
Subtitles_Final_Dataset/PREVIOLENCE SUBTITLES\Peaky blinders.txt,"['Surprise', 'Surprise', 'Surprise', 'Happy', 'Happy', 'Angry', 'Surprise', 'Surprise', 'Fear', 'Fear', 'Surprise', 'Sad', 'Happy', 'Happy', 'Surprise', 'Happy', 'Angry', 'Fear', 'Happy', 'Happy', 'Angry', 'Happy', 'Sad', 'Fear', 'Surprise', 'Happy', 'Happy', 'Fear', 'Surprise', 'Happy', 'Surprise']"
Subtitles_Final_Dataset/PREVIOLENCE SUBTITLES\SkyFall1.txt,"['Happy', 'Happy', 'Surprise', 'Surprise', 'Fear', 'Sad', 'Fear', 'Happy', 'Happy', 'Surprise', 'Happy', 'Happy', 'Surprise', 'Happy', 'Fear', 'Happy', 'Fear', 'Happy', 'Fear', 'Angry', 'Happy', 'Happy', 'Happy', 'Happy', 'Happy', 'Happy', 'Happy', 'Sad', 'Fear', 'Happy', 'Sad', 'Happy', 'Sad', 'Surprise', 'Sad', 'Happy', 'Surprise', 'Fear', 'Happy']"
Subtitles_Final_Dataset/PREVIOLENCE SUBTITLES\SkyFall2.txt,"['Happy', 'Surprise', 'Happy', 'Happy', 'Happy', 'Happy']"
Subtitles_Final_Dataset/PREVIOLENCE SUBTITLES\SkyFall3.txt,"['Happy', 'Happy', 'Sad', 'Happy', 'Sad', 'Fear', 'Happy', 'Sad', 'Surprise', 'Sad', 'Fear', 'Happy', 'Angry', 'Happy', 'Sad', 'Fear', 'Happy', 'Sad', 'Happy', 'Happy', 'Fear', 'Happy', 'Surprise', 'Happy', 'Fear', 'Fear', 'Happy', 'Happy', 'Surprise', 'Happy', 'Happy', 'Sad', 'Fear', 'Fear', 'Happy', 'Fear', 'Happy', 'Happy', 'Fear', 'Happy', 'Happy', 'Surprise', 'Happy', 'Happy', 'Happy', 'Sad', 'Fear', 'Fear', 'Fear', 'Happy', 'Fear', 'Happy', 'Happy', 'Sad', 'Happy', 'Surprise', 'Sad', 'Angry', 'Happy', 'Sad', 'Sad', 'Happy', 'Fear', 'Happy', 'Surprise', 'Happy', 'Happy', 'Happy', 'Fear', 'Happy', 'Surprise', 'Happy', 'Fear', 'Happy', 'Fear', 'Sad', 'Happy', 'Angry', 'Angry', 'Surprise', 'Sad', 'Sad', 'Happy', 'Sad', 'Surprise', 'Sad', 'Happy', 'Happy', 'Happy', 'Happy', 'Surprise', 'Happy', 'Happy', 'Happy', 'Happy', 'Happy']"
Subtitles_Final_Dataset/PREVIOLENCE SUBTITLES\SkyFall4.txt,"['Happy', 'Sad', 'Sad', 'Fear', 'Happy', 'Happy', 'Fear', 'Surprise', 'Happy', 'Happy', 'Happy', 'Happy', 'Happy', 'Happy', 'Happy', 'Happy', 'Fear', 'Sad', 'Happy', 'Fear', 'Sad', 'Angry', 'Sad', 'Surprise', 'Surprise', 'Happy', 'Surprise', 'Angry', 'Happy', 'Happy', 'Surprise', 'Surprise', 'Happy']"
Subtitles_Final_Dataset/PREVIOLENCE SUBTITLES\wrath of man 1.txt,"['Happy', 'Sad', 'Surprise', 'Fear', 'Fear', 'Happy', 'Happy', 'Fear', 'Happy', 'Surprise', 'Happy', 'Happy', 'Surprise', 'Surprise', 'Happy', 'Happy', 'Fear', 'Fear', 'Sad', 'Happy', 'Happy', 'Happy', 'Happy', 'Angry', 'Angry', 'Angry', 'Happy', 'Angry', 'Surprise', 'Happy', 'Happy', 'Happy', 'Surprise', 'Happy', 'Sad', 'Happy', 'Fear', 'Sad', 'Happy', 'Happy', 'Angry', 'Happy', 'Happy', 'Happy', 'Surprise', 'Sad', 'Fear', 'Surprise', 'Sad', 'Fear', 'Fear', 'Happy', 'Fear', 'Happy', 'Happy', 'Surprise', 'Happy', 'Surprise', 'Happy', 'Happy', 'Happy', 'Surprise', 'Happy', 'Sad', 'Sad', 'Happy', 'Happy', 'Happy', 'Happy', 'Happy', 'Happy', 'Happy', 'Happy', 'Surprise', 'Happy', 'Surprise', 'Happy', 'Happy', 'Sad']"
Subtitles_Final_Dataset/PREVIOLENCE SUBTITLES\wrath of man 2.txt,"['Fear', 'Surprise', 'Happy', 'Fear', 'Fear', 'Sad', 'Happy', 'Happy', 'Sad', 'Sad', 'Happy', 'Fear', 'Angry', 'Happy', 'Happy', 'Happy', 'Fear', 'Surprise', 'Happy', 'Happy', 'Fear', 'Happy', 'Happy', 'Fear', 'Sad', 'Sad', 'Happy', 'Happy', 'Happy', 'Happy', 'Happy', 'Happy', 'Surprise', 'Surprise', 'Happy', 'Happy', 'Surprise', 'Happy', 'Sad', 'Surprise', 'Happy', 'Happy', 'Happy', 'Happy', 'Happy', 'Surprise', 'Fear', 'Happy', 'Fear', 'Happy', 'Happy', 'Happy', 'Fear', 'Happy', 'Happy', 'Happy', 'Happy', 'Happy']"
Subtitles_Final_Dataset/PREVIOLENCE SUBTITLES\wrath of man 3.txt,"['Happy', 'Sad', 'Fear', 'Happy', 'Happy', 'Happy', 'Happy', 'Happy', 'Sad', 'Happy', 'Sad', 'Happy', 'Surprise', 'Happy', 'Surprise', 'Surprise', 'Sad', 'Sad', 'Sad', 'Sad', 'Sad', 'Sad', 'Happy', 'Happy', 'Happy', 'Fear', 'Sad', 'Happy', 'Surprise']"
Subtitles_Final_Dataset/PREVIOLENCE SUBTITLES\wrath of man 4.txt,"['Happy', 'Sad', 'Happy', 'Sad', 'Fear', 'Fear', 'Happy', 'Happy', 'Happy', 'Sad', 'Happy', 'Happy', 'Angry', 'Happy', 'Sad', 'Happy', 'Sad', 'Happy', 'Happy', 'Sad', 'Surprise', 'Fear', 'Happy', 'Happy', 'Sad', 'Happy', 'Happy']"
